text,id,subject
"RESOLVED, That we affirm the gifts of women in their distinctive God-assigned roles, even as we continue to witness to Scripture’s teaching (Genesis 2:18, 21–24; Ephesians 5:22–33; Colossians 3:18–19; 1 Timothy 2:9–14; Titus 2:3–5; 1 Peter 3:1–7) in a culture increasingly confused in matters of gender and sexuality; and be it further",11,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we call upon women to serve in diverse capacities to advance the gospel in their homes, local churches, communities, the marketplace, and within our denomination; and be it further",12,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we call upon older women to invest in younger women for the sake of developing them into godly followers of Christ consistent with Paul’s admonition in Titus 2:3–5; and be it finally",13,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we call upon all Southern Baptists to encourage, cultivate, and celebrate the diverse gifts, callings, and contributions of women in biblically appropriate ways. ",14,On Christlike Commnication and the Use of Social Media
"WHEREAS, God has created every person—male and female—in His own image and with equal value and dignity (Genesis 1:26–27); and",15,On Christlike Commnication and the Use of Social Media
"WHEREAS, God abhors violence against the weak and defenseless and calls His people to defend the hurt and oppressed (Psalm 82:4), to stand for justice (Psalm 82:3; Proverbs 31:8–9), and to deliver victims of abuse from the hands of their oppressors (Proverbs 6:17; 24:10–12); and",16,On Christlike Commnication and the Use of Social Media
"WHEREAS, The Baptist Faith and Message says that “We should work to provide for the orphaned, the needy, the abused, the aged, the helpless, and the sick” (Article XV); and",17,On Christlike Commnication and the Use of Social Media
"WHEREAS, Abuse can be defined as any act or conscious failure to act resulting in imminent risk, serious injury, death, physical or emotional or sexual harm, or exploitation of another person; and",18,On Christlike Commnication and the Use of Social Media
"WHEREAS, Current cultural trends have opened the door for victims to voice courageously their plight and seek justice; and",19,On Christlike Commnication and the Use of Social Media
"WHEREAS, We deplore, apologize, and ask for forgiveness for failures to protect the abused, failures that have occurred in evangelical churches and ministries, including such failures within our own denomination; and",20,On Christlike Commnication and the Use of Social Media
"WHEREAS, God has designed marriage “to reveal the union between Christ and His church and to provide for the man and the woman in marriage the framework for intimate companionship” (The Baptist Faith and Message, Article XVIII); and",21,On Christlike Commnication and the Use of Social Media
"WHEREAS, Biblical headship blesses, honors, and protects wives and children and does not require them to submit to sin or to abuse (Ephesians 5:25–29; Colossians 3:18; 1 Peter 3:7; 5:3); and",22,On Christlike Commnication and the Use of Social Media
"WHEREAS, The biblical teaching on relationships between men and women neither supports nor fosters, but rather prevents and condemns, abuse (Mark 12:31; Romans 13:10; Ephesians 4:32); and",23,On Christlike Commnication and the Use of Social Media
"WHEREAS, God ordains civil government as His servant to us for good (Romans 13:4) and intends for us “to render loyal obedience thereto in all things not contrary to the revealed will of God” (The Baptist Faith and Message, Article XVII); and",24,On Christlike Commnication and the Use of Social Media
"WHEREAS, Abuse is not only a sin but is also a destructive evil that distorts and disrupts the marriage covenant and the entire family and is a hallmark of the devil which must not be tolerated in the Christian community; now, therefore, be it",25,On Christlike Commnication and the Use of Social Media
"RESOLVED, That the messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, condemn all forms of abuse and repudiate with a unified voice all abusive behavior as unquestionably sinful and under the just condemnation of our Holy God; and be it further",26,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we acknowledge that spousal abuse dishonors the marriage covenant and fundamentally blasphemes the relationship between Christ and the church; and be it further",27,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we strongly urge abuse victims to contact civil authorities, separate from their abusers, and seek protection, care, and support from fellow Christians and civil authorities; and be it further",28,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we extend compassion and support to all persons encountering the injustice of abuse, being careful to remind the abused that such injustice is undeserved and not a result of personal guilt or fault; and be it further",29,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we call on all persons perpetrating and enabling abuse to repent and to confess their sin to Jesus Christ and to church authorities and to confess their crimes to civil authorities; and be it further",30,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we implore all persons to act decisively on matters of abuse, to intervene on behalf of the abused, to ensure their safety, to report allegations of abuse to civil authorities according to the laws of their state, and to pursue church discipline against impenitent abusers; and be it further",31,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we encourage leaders in our churches and Southern Baptist Convention entities to be faithful examples, through their words and actions, and to speak against the sin of all forms of abuse; and be it further",32,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we call on pastors and ministry leaders to foster safe environments in which abused persons may both recognize the reprehensible nature of their abuse and reveal such abuse to pastors and ministry leaders in safety and expectation of being believed and protected; and be it further",33,On Christlike Commnication and the Use of Social Media
"RESOLVED, That church and ministry leaders have an obligation to implement policies and practices that protect against and confront any form of abuse; and be it finally",34,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we uphold the dignity of all human beings as image-bearers of God and the responsibility of all Christians to seek the welfare of the abused. ",35,On Christlike Commnication and the Use of Social Media
"WHEREAS, Pastors and ministry leaders are held to a high standard for their doctrine, speech, and conduct, the standard being the very character and example of Jesus Christ (1 Corinthians 11:1; 1 Timothy 4:16); and",36,On Christlike Commnication and the Use of Social Media
"WHEREAS, Scripture is clear on the imperative of sexual purity among believers (Ephesians 5:3) and especially among pastors and ministry leaders (1 Timothy 3:1–13) as a part of a testimony to God’s holiness; and",37,On Christlike Commnication and the Use of Social Media
"WHEREAS, Pastors and ministry leaders are to be examples by their faith in Christ and their lives of ongoing repentance of sin (Hebrews 13:7; 1 Peter 5:1–3) and",38,On Christlike Commnication and the Use of Social Media
"WHEREAS, Sexual infidelity and other violations of ministerial integrity egregiously pervert and demean the image of God and always have tragic consequences for the ministry leader, for those who are victimized, and for others impacted by those transgressions; and",39,On Christlike Commnication and the Use of Social Media
"WHEREAS, To ignore or minimize the presence of sin and thereby excuse or deny the presence of that sin is antithetical and disobedient to the corporate call to holiness among the people of God (Ephesians 1:4; 1 Thessalonians 4:7; 1 Peter 1:15–16); now, therefore, be it",40,On Christlike Commnication and the Use of Social Media
"RESOLVED, That the messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, repudiate in the strongest terms any behavior that would compromise the New Testament standard of a ministry leader’s absolute holiness and requirement to be above reproach (1 Timothy 3:2, 9–10); and be it further",41,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we call upon pastors, ministry leaders, entity leaders, and denominational representatives to pursue moral and sexual purity in all relationships before God and with others and to guard their life and doctrine scrupulously, even as all believers should seek the same standards for themselves; and be it further",42,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we appeal to Matthew 18:6–17 in exhorting churches to exercise appropriate redemptive church discipline for addressing the sin of ministry leaders, seeking to extend restorative grace (Galatians 6:1), knowing that we are all equally susceptible to the pull of sin (1 Corinthians 10:12); and be it further",43,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we covenant one with another to recommit ourselves to confession, repentance, and contrition, and to mortify sin in our own hearts and in our churches; and be it finally",44,On Christlike Commnication and the Use of Social Media
"RESOLVED, That having humbled ourselves before the Lord and the watching world, with full consciousness of the judgment of God (2 Corinthians 5:10), we will return to the Great Commission work before us with newfound fervor and purpose, and we will not allow ourselves, our ministries, or our Convention to lose sight of the great and glorious task before us: the fulfillment of the Great Commission of the Lord Jesus Christ through the upbuilding of churches, the discipling of the sheep, and the unflagging evangelization of the lost. ",45,On Christlike Commnication and the Use of Social Media
"WHEREAS, Many churches in the Southern Baptist Convention once openly endorsed the false teaching of the so-called “curse of Ham” narrative which errantly construed Genesis 9:25–27 to say that God ordained the descendants of Ham to be marked with dark skin and be relegated to a subordinated status based on race; and",46,On Christlike Commnication and the Use of Social Media
"WHEREAS, This doctrine has been used to enslave and continues to be used by white supremacists as a cloak to invoke God’s holy name in unholy acts of demeaning, dishonoring, and dehumanizing certain people who bear His image; and",47,On Christlike Commnication and the Use of Social Media
"WHEREAS, The residue of this doctrine remains today and continues to distort the witness of the church and presents a stumbling block to the gospel we preach; and",48,On Christlike Commnication and the Use of Social Media
"WHEREAS, This argument for justifying racist ideologies contradicts the rest of Scripture, especially those passages that teach the image of God in every person regardless of gender or ethnicity (Genesis 1:26–27; Acts 17:26), the unity of people purchased by the blood of Christ (Ephesians 2:11–22), and the certainty that Jesus’ bride is a multi-ethnic people (Revelation 7:9); and",49,On Christlike Commnication and the Use of Social Media
"WHEREAS, The Ethics and Religious Liberty Commission commemorated the fiftieth anniversary of the assassination of Rev. Dr. Martin Luther King Jr. that occurred on April 4, 1968, in Memphis, Tennessee, affording individuals across the nation an opportunity for reflection, repentance, and renewed resolve toward racial unity; now, therefore, be it",50,On Christlike Commnication and the Use of Social Media
"RESOLVED, That the messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, maintain and renew our public renunciation of racism in all its forms, including our disavowal of the “curse of Ham” doctrine and any other attempt to distort or misappropriate the Bible to justify this evil; and be it further",51,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we not be satisfied in our hearts with embracing any doctrinal belief that contradicts human dignity expressed in the creation account and beg the Almighty to purge all remaining dross of this false teaching from our hearts to the glory of God; and be it further",52,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we remain vigilant to bring about the healing and restoration of individuals affected by this sort of doctrine, not allowing any future version of this wicked teaching to creep into our hearts or our pulpits (Matthew 7:15; 2 Peter 2:1); and be it further",53,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we renew our commitment to proclaim boldly the gospel of Jesus Christ to people from every tribe, tongue, and nation regardless of skin color or genealogical descent (Matthew 28:18–20; Acts 1:8); and be it further",54,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we encourage Southern Baptists at every level to withdraw fellowship from churches that insist on excluding from fellowship anyone based on race or ethnicity; and be it further",55,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we renew our commitment to preach and teach the full equality, dignity, and worth of all people from the Scriptures as it would be appropriate to do so; and be it finally",56,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we renew our commitment to cultivate diligently heartfelt love for people of all tribes, ethnicities, and peoples for the good of the church and the glory of Jesus among the nations (Ephesians 4:3–6). ",57,On Christlike Commnication and the Use of Social Media
"WHEREAS, Every man, woman, and child from every language, race, and nation is a special creation of God, made in His own image (Genesis 1:26–27); and",58,On Christlike Commnication and the Use of Social Media
"WHEREAS, Longings to protect one’s family from warfare, violence, disease, extreme poverty, and other destitute conditions are universal, driving millions of people to leave their homelands to seek a better life for themselves, their children, and their grandchildren; and",59,On Christlike Commnication and the Use of Social Media
"WHEREAS, God commands His people to treat immigrants with the same respect and dignity as those native born (Leviticus 19:33–34; Jeremiah 7:5–7; Ezekiel 47:22; Zechariah 7:9–10); and",60,On Christlike Commnication and the Use of Social Media
"WHEREAS, Scripture is clear on the believer’s hospitality towards immigrants, stating that meeting the material needs of “strangers” is tantamount to serving the Lord Jesus Himself (Matthew 25:35–40; Hebrews 13:2); and",61,On Christlike Commnication and the Use of Social Media
"WHEREAS, Southern Baptists affirm the value of the family, stating in The Baptist Faith and Message that “God has ordained the family as the foundational institution of human society” (Article XVIII), and Scripture makes clear that parents are uniquely responsible to raise their children “in the training and instruction of the Lord” (Ephesians 6:4); and",62,On Christlike Commnication and the Use of Social Media
"WHEREAS, Untold numbers of men and women seeking to enter the United States legally, desiring to become good citizens of our country, often languish at the borders due to the complexity of our immigration system; and",63,On Christlike Commnication and the Use of Social Media
"WHEREAS, In its 2011 resolution “On Immigration and The Gospel,” messengers to the Southern Baptist Convention asked our governing authorities to prioritize efforts to secure the borders and to hold businesses accountable for hiring practices as they relate to immigration status; and",64,On Christlike Commnication and the Use of Social Media
"WHEREAS, In that same resolution, Southern Baptist Convention messengers also asked our governing authorities to implement, with the borders secured, a just and compassionate path to legal status, with appropriate restitutionary measures, for those undocumented immigrants already living in our country; and",65,On Christlike Commnication and the Use of Social Media
"WHEREAS, At the time, Southern Baptist Convention messengers made clear that the wording of the resolution was not to be construed as support for amnesty for any undocumented immigrant living in violation of the law of the land; and",66,On Christlike Commnication and the Use of Social Media
"WHEREAS, After seven years of continued policy gridlock, there have been no substantive changes in the immigration system that would make it more just, humane, efficient, and orderly; now, therefore, be it",67,On Christlike Commnication and the Use of Social Media
"RESOLVED, That the messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, affirm the value and dignity of immigrants, regardless of their race, religion, ethnicity, culture, national origin, or legal status; and be it further",68,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we desire to see immigration reform include an emphasis on securing our borders and providing a pathway to legal status with appropriate restitutionary measures, maintaining the priority of family unity, resulting in an efficient immigration system that honors the value and dignity of those seeking a better life for themselves and their families; and be it further",69,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we declare that any form of nativism, mistreatment, or exploitation is inconsistent with the gospel of Jesus Christ; and be it further",70,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we encourage all elected officials, especially those who are members of Southern Baptist churches, to do everything in their power to advocate for a just and equitable immigration system, those in the professional community to seek ways to administer just and compassionate care for the immigrants in their community, and our Southern Baptist entities to provide resources that will equip and empower churches and church members to reach and serve immigrant communities; and be it further",71,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we encourage pastors to address immigration issues with their local churches and to exhort their congregations to serve their local immigrant communities; and be it finally",72,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm that all immigrants are either brothers and sisters in Christ or people whom God loves and has given us an opportunity to reach with the gospel where otherwise they may never have heard. ",73,On Christlike Commnication and the Use of Social Media
"WHEREAS, In the beginning, the Triune God chose to create humanity in His image and according to His likeness, such that “God created man in His own image; He created Him in the image of God; He created them male and female” (Genesis 1:26–27); and",74,On Christlike Commnication and the Use of Social Media
"WHEREAS, God judged His creation of humanity to be very good indeed (Genesis 1:31), crowned humanity with honor and glory, making them rulers over the works of His hands (Psalm 8:5–6), and put eternity in all human hearts so we might seek after Him (Ecclesiastes 3:11); and",75,On Christlike Commnication and the Use of Social Media
"WHEREAS, God’s precious likeness and image was passed down from Adam to his posterity, the human race, through generations (Genesis 5:3); and",76,On Christlike Commnication and the Use of Social Media
"WHEREAS, God sent His own perfect image, Jesus Christ, into the world (Colossians 1:15; Hebrews 1:3), intending through the sufferings of Christ (Hebrews 2:10) for human beings to become conformed, renewed, and transformed into the same image of Christ (Romans 8:29; 2 Corinthians 3:18; Colossians 3:9–10); and",77,On Christlike Commnication and the Use of Social Media
"WHEREAS, God intends to bless human beings to “bear the image of the man of heaven,” Jesus Christ (1 Corinthians 15:49; cf. 1 John 3:2), and “wants everyone to be saved” through hearing and believing His gospel (1 Timothy 2:4; cf. Ezekiel 18:23; Matthew 23:37; 2 Peter 3:9); and",78,On Christlike Commnication and the Use of Social Media
"WHEREAS, Significant challenges threaten the dignity and worthiness of human beings who do not possess power or advantage, including but not limited to the heinous murder of the unborn child in the womb, the enforced withdrawal of life-sustaining medical care from the ill or infirm, the prejudices and discriminations of racism and ethnocentrism, various abuses of other human persons, the denigration of opposing political groups, and persecutions of religious minorities; and",79,On Christlike Commnication and the Use of Social Media
"WHEREAS, Article III of The Baptist Faith and Message clearly affirms that human dignity is an inviolable status, stating, “The sacredness of human personality is evident in that God created man in His own image, and in that Christ died for man; therefore, every person of every race possesses full dignity and is worthy of respect and Christian love”; now, therefore, be it",80,On Christlike Commnication and the Use of Social Media
"RESOLVED, That the messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, reaffirm the sacredness and full dignity and worthiness of respect and Christian love for every single human being, without any reservation whatsoever; and be it further",81,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every unborn child and denounce every act of abortion except to save the mother’s physical life; and be it further",82,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every human being, whether or not any political, legal, or medical authority considers a human being possessive of “viable” life regardless of cognitive or physical disability, and denounce every act that would wrongly limit the life of any human at any stage or state of life; and be it further",83,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every human being of whatever ethnicity and denounce every form and practice of racism and ethnocentrism; and be it further",84,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every human being, whether male or female, young or old, weak or strong, and denounce any and every form of abuse, whether physical, sexual, verbal, or psychological; and be it further",85,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every human being of whatever political or legal status or party and denounce rhetoric that diminishes the humanity of anyone; and be it further",86,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every human being of whatever religion or creed and denounce any unjust violation of the first freedom of religious liberty; and be it further",87,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm that the full dignity of every human being can never be removed, diminished, or modified by any human decision or action whatsoever; and be it finally",88,On Christlike Commnication and the Use of Social Media
"RESOLVED, That we affirm the full dignity of every human being and commit to model God’s saving love by sharing the eternal hope found in the gospel, to call all people to repentance and faith in Jesus Christ (Matthew 28:19–20; 2 Corinthians 5:11; 1 Peter 3:14–17), and to love our neighbors as ourselves (Matthew 22:39; Romans 12:10, 15; Philippians 2:4–7). ",89,On Christlike Commnication and the Use of Social Media
"WHEREAS, Due to the size and publicly deliberative nature of the Southern Baptist Convention, the interactions between its people and entities often become newsworthy and are published in Christian and secular media as representation of the faith of believers in our Lord Jesus Christ; and",90,On Christlike Commnication and the Use of Social Media
"WHEREAS, The Bible affirms that God is the author of human life and that human life is sacred and worthy of protection (Genesis 9:5–6; Psalm 139:13–16); and",99,On Gun Violence and Mass Shootings
"WHEREAS, The shedding of innocent blood is a repugnant and wicked evil that transgresses the moral law of God and does violence to the image of God in every person (Genesis 1:26–27; Exodus 20:13); and",100,On Gun Violence and Mass Shootings
"WHEREAS, Gun violence perpetrated against innocent persons is incompatible with the character of Jesus Christ; and",101,On Gun Violence and Mass Shootings
"WHEREAS, Gun-related violence results in over thirty thousand deaths annually in the United States; and",102,On Gun Violence and Mass Shootings
"WHEREAS, In 2018 there already have been a number of horrific mass shootings in the United States, claiming the lives of precious individuals and injuring many others; and",103,On Gun Violence and Mass Shootings
"WHEREAS, The mass shooting at First Baptist Church in Sutherland Springs, Texas, on November 5, 2017, resulted in twenty-six murdered persons and an additional twenty injured persons, and was an horrific evil that brought immeasurable grief to the families affected, the nation, and to the broader Southern Baptist family; now, therefore, be it",104,On Gun Violence and Mass Shootings
"RESOLVED, That messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, do grieve and decry the epidemic of gun violence resulting in mass shootings across America; and be it further",105,On Gun Violence and Mass Shootings
"RESOLVED, That we express solidarity with all those victimized by gun violence and seek every available opportunity to minister to them in the name of Jesus Christ; and be it further",106,On Gun Violence and Mass Shootings
"RESOLVED, That we commend the heroism of police officers, first responders, and bystanders who bravely intervene in violent situations to eliminate additional threats and provide emergency aid to victims (Romans 13:1–7); and be it further",107,On Gun Violence and Mass Shootings
"RESOLVED, That we call on federal, state, and local authorities to address the epidemic of gun violence by evaluating the societal maladies that lead to escalations in gun violence and mass shootings; and be it further",108,On Gun Violence and Mass Shootings
"RESOLVED, That we call on federal, state, and local authorities to implement preventative measures that would reduce gun violence and mass shootings while operating in accordance with the Second Amendment of the United States Constitution; and be it further",109,On Gun Violence and Mass Shootings
